2026.05.19 - 14.12.20

creationTime:Sat Apr 04 00:00:00 UTC 2026-Sat Apr 04 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-04 00:00:12.077	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [CYSJAENX]	 CYSJAENX	 041200	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwAP2I0h	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:12.079	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRRNYDYX]	 DRRNYDYX	 041200	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:13.096	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DFFDZQZX]	 DFFDZQZX	 041200	 DIAPZPZX	 MTA-DFFF-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwAP2I0h	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:16.402	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DFFFZQZX]	 DFFFZQZX	 041200	 DIAPZPZX	 MTA-DFFF-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:17.948	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DXXXZQZX]	 DXXXZQZX	 041200	 DIAPZPZX	 MTA-DXXX-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:19.003	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [GOOVXKXX]	 GOOVXKXX	 041200	 DIAPZPZX	 MTA-GOOO-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:02:07.045	 FF	 349.1775260799.5865	 [DBBBFPLX]	 DBBBFPLX	 031159	 EDDFUAEK	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260403235959Z-4793	 adBUfwCVR6a5	 	 MTCU-DRRR-1-20260403235959Z-4793:previd=349.1775260799.5865*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-04 00:02:31.645	 FF	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260404000202Z-0733	 [DRRRFDPB]	 DRRRFDPB	 041202	 GQNOFDPA	  	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260404000202Z-0733	 adBVFwD=Onq3	 	 MTCU-GQNO-1-20260404000202Z-0733:previd=341.1775260922.758*/OU=GQNOFDPA/O=AFTN/PRMD=GQ/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-RAM553/A1332-IS-B738/M-SDE1E3FGHIJ1RWXYZ/LB1-GMMN2235-N0452F350<CR><LF> FOBAC UR722 MABAP DCT BULIS/N0456F370 UR981 TISEN/N0459F350 UR981<CR><LF> BAKAB UM629 NEMLO/N0453F390 UM629 KELEX UA608 BIKAB BIKAB1V-DBBB0354<CR><LF> DXXX-PBN/A1B1B2C1D1O1S1S2 DAT/V H DOF/260403 REG/CNRGN EET/GOOO0051<CR><LF> DRRR0150 SEL/EQHS CODE/020105 RVR/200 OPR/RAM ORGN/EDDFRAMX PER/D<CR><LF> RALT/GMAD DFFD RMK/TCAS 7.1)
Output	 2026-04-04 00:02:31.742	 FF	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260404000202Z-0733	 [DRRRFDPB]	 DRRRFDPB	 041202	 GQNOFDPA	 AMH	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260404000202Z-0733	 adBVFwD=Onq3	 	 MTCU-GQNO-1-20260404000202Z-0733:previd=341.1775260922.758*/OU=GQNOFDPA/O=AFTN/PRMD=GQ/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-04 00:03:14.37	 FF	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0236	 [DRRRZQZX  CYSJAENX  KIADMHYA]	 DRRRZQZX	 041203	 DFFDFDPA	  	 /PRMD=DF/ADMD=ICAO/C=XX/;MTCU-DFFF-1-20260404000313Z-0236	 adBVQgDboEQc	 	 MTCU-DFFF-1-20260404000313Z-0236:previd=341.1775260993.1612*/OU=DFFDFDPA/O=AFTN/PRMD=DF/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-AFR722/A5355-IS-A359/H-SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1<CR><LF>-FCBB2132-N0493F380 DCT BZ UG856 LV UB600 EBULI/M085F380 DCT 03N005E<CR><LF> DCT AMPAN/N0492F380 DCT TAMOK DCT MONOS DCT PAMPA UR983 OG UR866<CR><LF> SOLMA/N0487F400 UR866 BULIS/N0492F400 DCT MABAP UR722 SAK UG5<CR><LF> KORIS/N0482F390 DCT SVL/N0480F380 DCT HIJ DCT RUSEM DCT SOTUK DCT<CR><LF> USOKO DCT TLD DCT SIE DCT EDIGO DCT DGO DCT ABRIX DCT CNA DCT<CR><LF> POI/N0481F300 DCT PEPAX UT182 KEPER KEPER9W-LFPG0806 LFPO<CR><LF>-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSE2PDC SUR/260B RSP180<CR><LF> CANMANDATE DOF/260403 REG/FHTYO EET/DGAC0121 DRRR0245 SEL/BFHK<CR><LF> CODE/39CF0E OPR/AFR PER/C RALT/DIAP)
